Name,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud",DREAMER
,Node Notation,LIGHTHOUSE
,Gameplay Notes / Player Path (Outside Script),BLACKGUARD
,Extra Notes,TROUBADOUR
Text Treatments,*bold* _italics_ &actions/prose/narration&,
System Commands,"[PAUSE] — Goes to next character line and pauses before they start talking, like they're at a loss for words.  
[SHAKE] — Violently shakes the screen once, as if a Character were suddenly shouting, goes with the line following it.",
SYSTEM,"[NODE: ""Beacon2Victory.1""]",
NOTE,"""Approach Beacon after completing Battle 1""",
BIRD,Up here!,
NARRATION,"&The bird circles around the beacon, white wings beating in the air.&",
TROUBADOUR,I see it!,
NARRATION,"&Troubadour shields his eyes from the sun, proudly peering up at the beacon and the bird.&",
NARRATION,"&He looks at you, expectant, grinning.&",
TROUBADOUR,Shall we?,
NARRATION,&You smile back and open your mouth to reply-&,
BLACKGUARD,Can we get this over with already?,
NARRATION,"&Blackguard looks annoyed, hanging behind the group.&",
NARRATION,"&Lighthouse spares him a glance, unimpressed.&",
LIGHTHOUSE,Got somewhere to be?,
BLACKGUARD,...,
NARRATION,&You think you see the corners of her mouth quirk up.&,
TROUBADOUR,"The next beacon, of course! ",
NARRATION,"&Troubadour gives Blackguard two thumbs up, nodding enthusiastically.&",
TROUBADOUR,Blackguard is totally right - we've got a mission to complete!,
BLACKGUARD,"Hey, wait a second-",
LIGHTHOUSE,&You see Lighthouse elbow Blackguard to cut him off.&,
BIRD,"Dreamer, if you would?",
DREAMER,Well... here goes!,
NARRATION,"You touch the beacon with the flat of you palm. Just like before, the cool stone begins to vibrate and buzz.",
SYSTEM,[SHAKE],
NARRATION,You brace yourself as the ground begins to shudder again.,
SYSTEM,[SHAKE],
NARRATION,The golden glow erupts into a mighty pillar of light that the bird continues to circle.,
TROUBADOUR,WOW!,
LIGHTHOUSE,It really is beautiful...,
LIGHTHOUSE,Have you ever seen anything like it?,
BLACKGUARD,&Blackguard rolls his eyes with a snort.&,
BLACKGUARD,"Yeah, you  ever seen a searchlight before?",
NARRATION,&You hear him grunt and you look over just in time to see Lighthouse giving him a swat.&,
DREAMER,"If all the battles coming up are this easy, we'll be done in no time at all.",
TROUBADOUR,&Troubadour laughs as he begins back down the path.&,
TROUBADOUR,"I think this is the beginning of an awesome new adventure - what's the rush, Dreamer?",
DREAMER,There's no rush - it's just... we're almost halfway through already.,
NARRATION,&He turns to grin at you.&,
TROUBADOUR,"Well, we'll just have to enjoy the time we get - don't want it to end too soon, right?",
BLACKGUARD,I don't see what there's to even enjoy. ,
BLACKGUARD,We're basically free labor for this-,
NARRATION,&Blackguard jabs a thumb at the bird gliding overhead.&,
BLACKGUARD,-big bleached chicken.,
LIGHTHOUSE,"Don't be rude, Blackguard.",
LIGHTHOUSE,Chickens can't fly. ,
NARRATION,&You look up at the bird as it soars on ahead.&,
NARRATION,&The bird stays silent as you and your group walk on.&,
SYSTEM,[ENDNODE],
